Plate_96,Well_96,Well_number_96,Well_384,Well_number_384
3,E01,49,J01,217
3,E02,50,J03,219
3,E03,51,J05,221
3,E04,52,J07,223
3,E05,53,J09,225
3,E06,54,J11,227
3,E07,55,J13,229
3,E08,56,J15,231
3,E09,57,J17,233
3,E10,58,J19,235
3,E11,59,J21,237
3,E12,60,J23,239
3,F01,61,L01,265
3,F02,62,L03,267
3,F03,63,L05,269
3,F04,64,L07,271
3,F05,65,L09,273
3,F06,66,L11,275
3,F07,67,L13,277
3,F08,68,L15,279
3,F09,69,L17,281
3,F10,70,L19,283
3,F11,71,L21,285
3,F12,72,L23,287
3,G01,73,N01,313
3,G02,74,N03,315
3,G03,75,N05,317
3,G04,76,N07,319
3,G05,77,N09,321
3,G06,78,N11,323
3,G07,79,N13,325
3,G08,80,N15,327
3,G09,81,N17,329
3,G10,82,N19,331
3,G11,83,N21,333
3,G12,84,N23,335
3,H01,85,P01,361
3,H02,86,P03,363
3,H03,87,P05,365
3,H04,88,P07,367
3,H05,89,P09,369
3,H06,90,P11,371
3,H07,91,P13,373
3,H08,92,P15,375
3,H09,93,P17,377
3,H10,94,P19,379
3,H11,95,P21,381
3,H12,96,P23,383
4,A01,1,B02,26
4,A02,2,B04,28
4,A03,3,B06,30
4,A04,4,B08,32
4,A05,5,B10,34
4,A06,6,B12,36
4,A07,7,B14,38
4,A08,8,B16,40
4,A09,9,B18,42
4,A10,10,B20,44
4,A11,11,B22,46
4,A12,12,B24,48
4,B01,13,D02,74
4,B02,14,D04,76
4,B03,15,D06,78
4,B04,16,D08,80
4,B05,17,D10,82
4,B06,18,D12,84
4,B07,19,D14,86
4,B08,20,D16,88
4,B09,21,D18,90
4,B10,22,D20,92
4,B11,23,D22,94
4,B12,24,D24,96
4,C01,25,F02,122
4,C02,26,F04,124
4,C03,27,F06,126
4,C04,28,F08,128
4,C05,29,F10,130
4,C06,30,F12,132
4,C07,31,F14,134
4,C08,32,F16,136
4,C09,33,F18,138
4,C10,34,F20,140
4,C11,35,F22,142
4,C12,36,F24,144
4,D01,37,H02,170
4,D02,38,H04,172
4,D03,39,H06,174
4,D04,40,H08,176
4,D05,41,H10,178
4,D06,42,H12,180
4,D07,43,H14,182
4,D08,44,H16,184
4,D09,45,H18,186
4,D10,46,H20,188
4,D11,47,H22,190
4,D12,48,H24,192
4,E01,49,J02,218
4,E02,50,J04,220
4,E03,51,J06,222
4,E04,52,J08,224
4,E05,53,J10,226
4,E06,54,J12,228
4,E07,55,J14,230
4,E08,56,J16,232
4,E09,57,J18,234
4,E10,58,J20,236
4,E11,59,J22,238
4,E12,60,J24,240
4,F01,61,L02,266
4,F02,62,L04,268
4,F03,63,L06,270
4,F04,64,L08,272
4,F05,65,L10,274
4,F06,66,L12,276
4,F07,67,L14,278
4,F08,68,L16,280
4,F09,69,L18,282
4,F10,70,L20,284
4,F11,71,L22,286
4,F12,72,L24,288
4,G01,73,N02,314
4,G02,74,N04,316
4,G03,75,N06,318
4,G04,76,N08,320
4,G05,77,N10,322
4,G06,78,N12,324
4,G07,79,N14,326
4,G08,80,N16,328
4,G09,81,N18,330
4,G10,82,N20,332
4,G11,83,N22,334
4,G12,84,N24,336
4,H01,85,P02,362
4,H02,86,P04,364
4,H03,87,P06,366
4,H04,88,P08,368
4,H05,89,P10,370
4,H06,90,P12,372
4,H07,91,P14,374
4,H08,92,P16,376
4,H09,93,P18,378
4,H10,94,P20,380
4,H11,95,P22,382
4,H12,96,P24,384
